Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,2486.2,3528.45,4668.2,4966.32,6987.88,6438.98,2232.75,1824.32,2904.79,3724.08,3468.22,2668.22
,2522.32,3563.87,4681.58,4988.95,6989.53,6456.75,2232.76,1834.82,2940.75,3735.32,3524.82,2668.8
,2600.79,3582.92,4695.6,4989.91,7001.15,6546.52,2236.02,1849.79,2975.25,3741.13,3587.04,2679.25
,2622.12,3601.88,4706.54,5006.6,7059.49,6596.45,2294.99,1851.7,2984.86,3742.05,3614.08,2688.86
,2662.46,3666.32,4709.39,5022.02,7079.97,6661.28,2318.47,1854.79,2997.81,3749.22,3659.98,2694.37
,2673.15,3689.17,4724.56,5104.34,7148.32,6719.71,2340.83,1867.28,3002.47,3764.68,3720.28,2702.45
,2704.33,3717.65,4785.68,5191.74,7174.57,6756.24,2370.66,1869.25,3024.16,3787.08,3729,2711.41
,2707.6,3730.44,4793.37,5211.52,7217,6759.08,2383.74,1870.18,3049.73,3788.36,3780.71,2731.8
,2710.26,3777.94,4795.07,5240.6,7238.1,6810.55,2412.26,1903.7,3073.36,3909.01,3803.41,2745.22
,2717.78,3782.65,4795.45,5284.81,7251.99,6838.02,2420.53,1925.62,3092.97,3914.14,3806.24,2753.43
,2727.38,3813.22,4803.66,5301.43,7271.63,6960.65,2421.5,2058.02,3214.42,3915.79,3824.49,2806.56
,2755.58,3852.45,4808.51,5314.83,7283.75,6962.62,2427.63,2073.39,3214.49,3918.62,3832.15,2830.81
,2761.78,3927.57,4836.31,5374.66,7297.21,7005.04,2446.68,2082.46,3256.02,3950.05,3877.77,2870.19
,2764.73,3936.46,4874.15,5397.05,7336.19,7123.77,2495.56,2150.26,3290.76,3963.88,3895.89,2871.56
,2770.43,3937.77,4877.32,5397.53,7383.44,7215.46,2501.41,2154.95,3386.57,3995.67,3896.37,2877.51
,2793.75,3955.34,4899.32,5474.7,7410.42,7225.96,2579.86,2208.25,3441.53,4005.43,3922.89,2905.07
,2839.09,4001.84,4902.34,5489.87,7440.14,7227.95,2615.67,2213.68,3448.54,4024.75,3927.66,2940.54
,2840.16,4046.63,4919.8,5492.49,7494.33,7303.53,2621.43,2246.82,3451.47,4037.84,3929.24,2950.33
,2883.83,4049.98,4940.66,5520.98,7565.66,7434.41,2699.06,2249.58,3498.47,4045.45,3956.77,2963.27
,2885.67,4068.2,4951.76,5522.07,7624.73,7450.97,2709.73,2250.26,3510.93,4049.38,4006.79,3005.45
,2887.04,4095.21,4999.9,5522.18,7625.79,7537.79,2749.08,2254.07,3558.93,4058,4016.15,3011.39
,2903.55,4126.31,5005.07,5536.66,7663.12,7560.87,2786.03,2261.62,3589.16,4061.32,4037.64,3033.78
,2904.13,4126.34,5042.36,5545.9,7707.26,7587.79,2791.61,2271.97,3631.23,4061.98,4056.32,3037.28
,2910.31,4134.89,5044.28,5550.34,7737.06,7593.49,2806.64,2277.31,3673.42,4063.04,4058.7,3048.88
,2945.74,4157.59,5054.84,5629.83,7742.79,7600.14,2831.75,2279.6,3685.92,4070.69,4082.3,3081.26
,2946.15,4184.76,5089.58,5631.91,7756.43,7677.68,2874.65,2319.56,3701.15,4071.14,4088.43,3102.75
,2954.71,4209.48,5097.38,5674.57,7768.83,7788.73,2913.48,2359.07,3713.3,4091.35,4096.66,3111.74
,2967.61,4221.62,5123.01,5701.24,7804.23,7842.23,2915.92,2364.67,3720.89,4101.23,4116.45,3111.8
,2976.9,4232.35,5140.09,5706.79,7806.75,7876.4,2918.83,2370.94,3735.86,4109.54,4144.06,3124.83
,2987.73,4242.62,5140.37,5713.03,7848.09,7877.09,2938.07,2385.04,3738.32,4111.55,4144.78,3130
,3001.89,4267.86,5181.01,5744.69,7899.34,7894.15,2949.5,2394.92,3755.67,4134.45,4149.86,3155.65
,3009.15,4272.06,5181.25,5797.03,7907.27,7932.06,2983.05,2428.97,3759.43,4140.19,4173.7,3171.22
